week_ending,influenza_season,estimate,mmwr_year,mmwr_week,as_of_date,race_and_ethnicity,current_season_week_ending_label
2021-03-06T00:00:00.000,2020-2021,42.39,2021,9,,"Black, Non-Hispanic",2026-02-28 00:00:00.0000000
2021-03-13T00:00:00.000,2020-2021,42.45,2021,10,,"Black, Non-Hispanic",2026-03-07 00:00:00.0000000
2021-03-20T00:00:00.000,2020-2021,42.49,2021,11,,"Black, Non-Hispanic",2026-03-14 00:00:00.0000000
2021-03-27T00:00:00.000,2020-2021,42.53,2021,12,,"Black, Non-Hispanic",2026-03-21 00:00:00.0000000
2019-08-10T00:00:00.000,2019-2020,0.1809999999999999,2019,32,,"Other, Non-Hispanic",2025-08-02 00:00:00.0000000
2019-08-17T00:00:00.000,2019-2020,0.4689999999999999,2019,33,,"Other, Non-Hispanic",2025-08-09 00:00:00.0000000
2019-08-24T00:00:00.000,2019-2020,0.927,2019,34,,"Other, Non-Hispanic",2025-08-16 00:00:00.0000000
2019-08-31T00:00:00.000,2019-2020,1.73,2019,35,,"Other, Non-Hispanic",2025-08-23 00:00:00.0000000
2019-09-07T00:00:00.000,2019-2020,3.04,2019,36,,"Other, Non-Hispanic",2025-08-30 00:00:00.0000000
2019-09-14T00:00:00.000,2019-2020,5.52,2019,37,,"Other, Non-Hispanic",2025-09-06 00:00:00.0000000
2019-09-21T00:00:00.000,2019-2020,9.13,2019,38,,"Other, Non-Hispanic",2025-09-13 00:00:00.0000000
2019-09-28T00:00:00.000,2019-2020,13.77,2019,39,,"Other, Non-Hispanic",2025-09-20 00:00:00.0000000
2019-10-05T00:00:00.000,2019-2020,19.47,2019,40,,"Other, Non-Hispanic",2025-09-27 00:00:00.0000000
2019-10-12T00:00:00.000,2019-2020,25.290000000000003,2019,41,,"Other, Non-Hispanic",2025-10-04 00:00:00.0000000
2019-10-19T00:00:00.000,2019-2020,30.49,2019,42,,"Other, Non-Hispanic",2025-10-11 00:00:00.0000000
2019-10-26T00:00:00.000,2019-2020,35.13,2019,43,,"Other, Non-Hispanic",2025-10-18 00:00:00.0000000
2019-11-02T00:00:00.000,2019-2020,38.57,2019,44,,"Other, Non-Hispanic",2025-10-25 00:00:00.0000000
2019-11-09T00:00:00.000,2019-2020,41.370000000000005,2019,45,,"Other, Non-Hispanic",2025-11-01 00:00:00.0000000
2019-11-16T00:00:00.000,2019-2020,43.43,2019,46,,"Other, Non-Hispanic",2025-11-08 00:00:00.0000000
2019-11-23T00:00:00.000,2019-2020,45.25,2019,47,,"Other, Non-Hispanic",2025-11-15 00:00:00.0000000
2019-11-30T00:00:00.000,2019-2020,46.09,2019,48,,"Other, Non-Hispanic",2025-11-22 00:00:00.0000000
2019-12-07T00:00:00.000,2019-2020,47.22,2019,49,,"Other, Non-Hispanic",2025-11-29 00:00:00.0000000
2019-12-14T00:00:00.000,2019-2020,48.19,2019,50,,"Other, Non-Hispanic",2025-12-06 00:00:00.0000000
2019-12-21T00:00:00.000,2019-2020,48.96,2019,51,,"Other, Non-Hispanic",2025-12-13 00:00:00.0000000
2019-12-28T00:00:00.000,2019-2020,49.27,2019,52,,"Other, Non-Hispanic",2025-12-20 00:00:00.0000000
2020-01-04T00:00:00.000,2019-2020,49.58,2020,1,,"Other, Non-Hispanic",2025-12-27 00:00:00.0000000
2020-01-11T00:00:00.000,2019-2020,50.03999999999999,2020,2,,"Other, Non-Hispanic",2026-01-03 00:00:00.0000000
2020-01-18T00:00:00.000,2019-2020,50.43,2020,3,,"Other, Non-Hispanic",2026-01-10 00:00:00.0000000
2020-11-28T00:00:00.000,2020-2021,50.72,2020,48,,"Other, Non-Hispanic",2025-11-22 00:00:00.0000000
2020-12-05T00:00:00.000,2020-2021,51.33,2020,49,,"Other, Non-Hispanic",2025-11-29 00:00:00.0000000
2020-12-12T00:00:00.000,2020-2021,51.84,2020,50,,"Other, Non-Hispanic",2025-12-06 00:00:00.0000000
2020-12-19T00:00:00.000,2020-2021,52.22,2020,51,,"Other, Non-Hispanic",2025-12-13 00:00:00.0000000
2020-12-26T00:00:00.000,2020-2021,52.42,2020,52,,"Other, Non-Hispanic",2025-12-20 00:00:00.0000000
2021-01-02T00:00:00.000,2020-2021,52.580000000000005,2020,53,,"Other, Non-Hispanic",2025-12-27 00:00:00.0000000
2021-01-09T00:00:00.000,2020-2021,52.76,2021,1,,"Other, Non-Hispanic",2026-01-03 00:00:00.0000000
2021-01-16T00:00:00.000,2020-2021,52.91,2021,2,,"Other, Non-Hispanic",2026-01-10 00:00:00.0000000
2021-01-23T00:00:00.000,2020-2021,53.03,2021,3,,"Other, Non-Hispanic",2026-01-17 00:00:00.0000000
2021-01-30T00:00:00.000,2020-2021,53.12,2021,4,,"Other, Non-Hispanic",2026-01-24 00:00:00.0000000
2021-02-06T00:00:00.000,2020-2021,53.2,2021,5,,"Other, Non-Hispanic",2026-01-31 00:00:00.0000000
2021-02-13T00:00:00.000,2020-2021,53.26,2021,6,,"Other, Non-Hispanic",2026-02-07 00:00:00.0000000
2021-02-20T00:00:00.000,2020-2021,53.31,2021,7,,"Other, Non-Hispanic",2026-02-14 00:00:00.0000000
2021-02-27T00:00:00.000,2020-2021,53.36,2021,8,,"Other, Non-Hispanic",2026-02-21 00:00:00.0000000
2021-03-06T00:00:00.000,2020-2021,53.400000000000006,2021,9,,"Other, Non-Hispanic",2026-02-28 00:00:00.0000000
